,url,job_title,company,date,location,employment_type,field,description
0,https://www.seek.com.au/job/37458564?type=promoted,Data Analyst/Data Scientist,,12 Oct 2018,Perth,Contract/Temp,Information & Communication Technology,"The CompanyMSC Mediterranean shipping company is a world leader in container shipping. MSC has evolved from a one vessel operation into a globally respected logistics business with in excess of 500 vessels and 70,000 employees.
          MSCA is the Australian / New Zealand agency for Mediterranean Shipping Company; visit our website to learn more at www.msc.com. The PositionWe are presently looking for a motivated, experienced Data Analyst or an up and coming Data Scientist, with excellent communication skills to join our Information Technology team in Fremantle,
          Western Australia on a contract basis. The primary task and responsibilities for this position: The successful applicant will be expected to demonstrate the below skills: Interested applicants should forward a brief cover letter and resume. MSCA is committed to developing and maintaining a diverse workforce. The CompanyMSC Mediterranean shipping company is a world leader in container shipping. MSC has evolved from a one vessel operation into a globally respected logistics business with in excess of 500 vessels and 70,000 employees. MSCA is the Australian / New Zealand agency for Mediterranean Shipping Company; visit our website to learn more at www.msc.com. The PositionWe are presently looking for a motivated, experienced Data Analyst or an up and coming Data Scientist, with excellent communication skills to join our Information Technology team in Fremantle, Western Australia on a contract basis. The primary task and responsibilities for this position: The successful applicant will be expected to demonstrate the below skills: Interested applicants should forward a brief cover letter and resume. MSCA is committed to developing and maintaining a diverse workforce."
1,https://www.seek.com.au/job/37537274?type=standard,"Data Developer, Data Architect, Data Science, Big Data, Business Analyst",,23 Oct 2018,Melbourne,Full Time,Information & Communication Technology,"Data Scientists | R, Python, SAS"
2,https://www.seek.com.au/job/37533996?type=standout,Senior Business Analyst (with Data Science/ML),Onset Group,23 Oct 2018,Sydney,Full Time,Information & Communication Technology,Unlimited opportunities to grow in a key phase for the business
3,https://www.seek.com.au/job/37531245?type=standout,Head of Data Science,FourQuarters Recruitment,23 Oct 2018,Melbourne,Full Time,Information & Communication Technology,Leading Financial Services Brand 
4,https://www.seek.com.au/job/37512698?type=standout,Data Science Graduate,,19 Oct 2018,Perth,Full Time,Science & Technology,"  The Customer Solutions and Insights team are responsible for, and oversee, all product and service development, pricing decisions, analytics and process transformation across Bankwest. We use key customer insights to assist the design, build of products and services that meet the needs of both our business and retail target customer segments. The Analytics team acts as the voice of the customer and an Insights Hub for informing customer and market strategies within the business. The Analytics team is comprised of the below: The Data Analytics Graduate program is a two-year structured program that will complement your degree and development will be personalised based on your degree and experience. Exposure to our core functions will enable solid understanding of
            how to use analytical techniques to deliver leading business solutions. Projects and business engagement will be tailored to your personal career goals to maximise your opportunity for growth. The program is also integrated with graduates across the organisation, providing you with development opportunities, multiple lines of support and a vast network of colleagues and contacts to enable you to build a successful career at Bankwest. Where could the Program take you? Our graduates are held in the highest regard and after completing the program, the future is yours at Bankwest. Your career with us can take many forms which include: Roles you could move into include: Benefits As well as the opportunity to work for an Iconic Brand which is redefining what it means to be a bank, you’ll also benefit from: What qualities do we look for? We are looking for passionate people who are driven to make a difference by putting the customer needs first, and designing a customer experience for the digital world. People who are powered by opportunities to learn and grow in their career
            and people who thrive in a positive collaborative team environment. You must have the desire to develop business acumen, challenge yourself and your colleagues, meet new people and develop professional and customer relationships. Creative thinkers and innovators are highly regarded especially when you can leverage
            these skills to rapidly iterate and create a customer experience of the future. You must be supportive of a diverse and inclusive environment, be a positive team player, and have a flexible mindset that adapts to the fast-changing world of technology. What degree types do we look for? Graduates from all disciplines are welcome to apply, however, preferred degree areas include:             The Customer Solutions and Insights team are responsible for, and oversee, all product and service development, pricing decisions, analytics and process transformation across Bankwest. We use key customer insights to assist the design, build of products and services that meet the needs of both our business and retail target customer segments. The Analytics team acts as the voice of the customer and an Insights Hub for informing customer and market strategies within the business. The Analytics team is comprised of the below: The Data Analytics Graduate program is a two-year structured program that will complement your degree and development will be personalised based on your degree and experience. Exposure to our core functions will enable solid understanding of how to use analytical techniques to deliver leading business solutions. Projects and business engagement will be tailored to your personal career goals to maximise your opportunity for growth. The program is also integrated with graduates across the organisation, providing you with development opportunities, multiple lines of support and a vast network of colleagues and contacts to enable you to build a successful career at Bankwest. Where could the Program take you? Our graduates are held in the highest regard and after completing the program, the future is yours at Bankwest. Your career with us can take many forms which include: Roles you could move into include: Benefits As well as the opportunity to work for an Iconic Brand which is redefining what it means to be a bank, you’ll also benefit from: What qualities do we look for? We are looking for passionate people who are driven to make a difference by putting the customer needs first, and designing a customer experience for the digital world. People who are powered by opportunities to learn and grow in their career and people who thrive in a positive collaborative team environment. You must have the desire to develop business acumen, challenge yourself and your colleagues, meet new people and develop professional and customer relationships. Creative thinkers and innovators are highly regarded especially when you can leverage these skills to rapidly iterate and create a customer experience of the future. You must be supportive of a diverse and inclusive environment, be a positive team player, and have a flexible mindset that adapts to the fast-changing world of technology. What degree types do we look for? Graduates from all disciplines are welcome to apply, however, preferred degree areas include:          "
5,https://www.seek.com.au/job/37502840?type=standard,Lecturer (Data Science),,18 Oct 2018,Melbourne,Full Time,Education & Training,"Job No.: 582757      Location: Clayton campus Employment Type: Full-time                                         Duration: 2 year fixed-term appointment Remuneration: $95,297 - $113,166 pa Level B (plus 17% employer superannuation) Everyone needs a platform to launch a satisfying career. At Monash, we give you the space and support to take your career in all kinds of exciting new directions. You’ll have access to quality research, infrastructure and learning facilities,
          opportunities to collaborate internationally, as well as the grants you’ll need to publish your work. We’re a university full of energetic and enthusiastic minds, driven to challenge what’s expected, expand what we know, and learn from other
          inspiring, empowering thinkers. The Opportunity The Faculty of Information Technology aims to lead global IT research and education. Our strong reputation and international profile attracts the best students worldwide and we offer a range of accredited courses that transform our graduates into
          highly skilled and sought after IT professionals, equipped to work globally. Our research is multidisciplinary, multi‑campus and multinational, giving us a unique capacity to reach out further and deeper than any other institution in Australia.
          Our research priorities are both technically ambitious and embedded in everyday life. With a significant focus on teaching, your role as a Level B academic will be providing supervision of the program of study of honours students and postgraduate students. You will have strong and committed leadership in participating in the Faculty’s
          curriculum initiation and the development of course materials and will play a significant role in coordinating and teaching the Data Science Graduate Diploma (online). You would also be actively involved in the unit content improvement of various
          data analysis units. As the successful incumbent, you will bring your proven expertise to the fore drawing on your relevant doctoral qualification and strong teaching experience in the tertiary environment (preferably online). Your ability to work positively and cooperatively
          with students, internal and external teams will further enhance your success here. The academic will also have a demonstrated track record of curriculum and subject material development (preferably for online courses). This role is a full-time position; however, flexible working arrangements may be negotiated. At Monash University, we are committed to being a Child Safe organisation. Some positions at the University will require the incumbent to hold a valid Working with Children Check. Your application must address the selection criteria. Please refer to ""How to apply for Monash Jobs"". Enquiries Minyi Li, Course Convenor, Graduate Diploma Data Science (GDDS), +61 3 9905 5754. Position Description Lecturer, Data Science Closing Date Thursday 29 November 2018, 11:55 pm AEDT Job No.: 582757      Location: Clayton campus Employment Type: Full-time                                         Duration: 2 year fixed-term appointment Remuneration: $95,297 - $113,166 pa Level B (plus 17% employer superannuation) Everyone needs a platform to launch a satisfying career. At Monash, we give you the space and support to take your career in all kinds of exciting new directions. You’ll have access to quality research, infrastructure and learning facilities, opportunities to collaborate internationally, as well as the grants you’ll need to publish your work. We’re a university full of energetic and enthusiastic minds, driven to challenge what’s expected, expand what we know, and learn from other inspiring, empowering thinkers. The Opportunity The Faculty of Information Technology aims to lead global IT research and education. Our strong reputation and international profile attracts the best students worldwide and we offer a range of accredited courses that transform our graduates into highly skilled and sought after IT professionals, equipped to work globally. Our research is multidisciplinary, multi‑campus and multinational, giving us a unique capacity to reach out further and deeper than any other institution in Australia. Our research priorities are both technically ambitious and embedded in everyday life. With a significant focus on teaching, your role as a Level B academic will be providing supervision of the program of study of honours students and postgraduate students. You will have strong and committed leadership in participating in the Faculty’s curriculum initiation and the development of course materials and will play a significant role in coordinating and teaching the Data Science Graduate Diploma (online). You would also be actively involved in the unit content improvement of various data analysis units. As the successful incumbent, you will bring your proven expertise to the fore drawing on your relevant doctoral qualification and strong teaching experience in the tertiary environment (preferably online). Your ability to work positively and cooperatively with students, internal and external teams will further enhance your success here. The academic will also have a demonstrated track record of curriculum and subject material development (preferably for online courses). This role is a full-time position; however, flexible working arrangements may be negotiated. At Monash University, we are committed to being a Child Safe organisation. Some positions at the University will require the incumbent to hold a valid Working with Children Check. Your application must address the selection criteria. Please refer to ""How to apply for Monash Jobs"". Enquiries Minyi Li, Course Convenor, Graduate Diploma Data Science (GDDS), +61 3 9905 5754. Position Description Lecturer, Data Science Closing Date Thursday 29 November 2018, 11:55 pm AEDT"
6,https://www.seek.com.au/job/37502839?type=standard,Lecturer (Data Science),,18 Oct 2018,Melbourne,Full Time,Education & Training,"Job No.: 582757      Location: Clayton campus Employment Type: Full-time                                         Duration: 2 year fixed-term appointment Remuneration: $95,297 - $113,166 pa Level B (plus 17% employer superannuation) Everyone needs a platform to launch a satisfying career. At Monash, we give you the space and support to take your career in all kinds of exciting new directions. You’ll have access to quality research, infrastructure and learning facilities,
          opportunities to collaborate internationally, as well as the grants you’ll need to publish your work. We’re a university full of energetic and enthusiastic minds, driven to challenge what’s expected, expand what we know, and learn from other
          inspiring, empowering thinkers. The Opportunity The Faculty of Information Technology aims to lead global IT research and education. Our strong reputation and international profile attracts the best students worldwide and we offer a range of accredited courses that transform our graduates into
          highly skilled and sought after IT professionals, equipped to work globally. Our research is multidisciplinary, multi‑campus and multinational, giving us a unique capacity to reach out further and deeper than any other institution in Australia.
          Our research priorities are both technically ambitious and embedded in everyday life. With a significant focus on teaching, your role as a Level B academic will be providing supervision of the program of study of honours students and postgraduate students. You will have strong and committed leadership in participating in the Faculty’s
          curriculum initiation and the development of course materials and will play a significant role in coordinating and teaching the Data Science Graduate Diploma (online). You would also be actively involved in the unit content improvement of various
          data analysis units. As the successful incumbent, you will bring your proven expertise to the fore drawing on your relevant doctoral qualification and strong teaching experience in the tertiary environment (preferably online). Your ability to work positively and cooperatively
          with students, internal and external teams will further enhance your success here. The academic will also have a demonstrated track record of curriculum and subject material development (preferably for online courses). This role is a full-time position; however, flexible working arrangements may be negotiated. At Monash University, we are committed to being a Child Safe organisation. Some positions at the University will require the incumbent to hold a valid Working with Children Check. Your application must address the selection criteria. Please refer to ""How to apply for Monash Jobs"". Enquiries Minyi Li, Course Convenor, Graduate Diploma Data Science (GDDS), +61 3 9905 5754. Position Description Lecturer, Data Science Closing Date Thursday 29 November 2018, 11:55 pm AEDT Job No.: 582757      Location: Clayton campus Employment Type: Full-time                                         Duration: 2 year fixed-term appointment Remuneration: $95,297 - $113,166 pa Level B (plus 17% employer superannuation) Everyone needs a platform to launch a satisfying career. At Monash, we give you the space and support to take your career in all kinds of exciting new directions. You’ll have access to quality research, infrastructure and learning facilities, opportunities to collaborate internationally, as well as the grants you’ll need to publish your work. We’re a university full of energetic and enthusiastic minds, driven to challenge what’s expected, expand what we know, and learn from other inspiring, empowering thinkers. The Opportunity The Faculty of Information Technology aims to lead global IT research and education. Our strong reputation and international profile attracts the best students worldwide and we offer a range of accredited courses that transform our graduates into highly skilled and sought after IT professionals, equipped to work globally. Our research is multidisciplinary, multi‑campus and multinational, giving us a unique capacity to reach out further and deeper than any other institution in Australia. Our research priorities are both technically ambitious and embedded in everyday life. With a significant focus on teaching, your role as a Level B academic will be providing supervision of the program of study of honours students and postgraduate students. You will have strong and committed leadership in participating in the Faculty’s curriculum initiation and the development of course materials and will play a significant role in coordinating and teaching the Data Science Graduate Diploma (online). You would also be actively involved in the unit content improvement of various data analysis units. As the successful incumbent, you will bring your proven expertise to the fore drawing on your relevant doctoral qualification and strong teaching experience in the tertiary environment (preferably online). Your ability to work positively and cooperatively with students, internal and external teams will further enhance your success here. The academic will also have a demonstrated track record of curriculum and subject material development (preferably for online courses). This role is a full-time position; however, flexible working arrangements may be negotiated. At Monash University, we are committed to being a Child Safe organisation. Some positions at the University will require the incumbent to hold a valid Working with Children Check. Your application must address the selection criteria. Please refer to ""How to apply for Monash Jobs"". Enquiries Minyi Li, Course Convenor, Graduate Diploma Data Science (GDDS), +61 3 9905 5754. Position Description Lecturer, Data Science Closing Date Thursday 29 November 2018, 11:55 pm AEDT"
7,https://www.seek.com.au/job/37501492?type=standout,Data Science Manager,,18 Oct 2018,Sydney,Full Time,Information & Communication Technology,"We're reimagining the way we use data in REA, Hometrack Australia have recently joined the REA family to help us on this journey and we'd love you to come help us too.    About the role  The Data Science
          Manager sits within the Hometrack Team headed up by Brendan Darcy. The Hometrack team work together to provide property data services to the financial sector. It's suite of products includes property data analytics and insights, customised data
          platforms and an Automated Valuation Model (AVM). Hometrack is a core part of the REA strategy and will allow us to deliver more property data and insights to our customers and consumers.    This role will manage, support and
          develop the Australian Quantitative Team at Hometrack. You will also form part of the Hometrack Leadership Group.  The Data Science Manager will collaborate with the Hometrack CEO, Hometrack CTO, Application Development, and Commercial
          teams on priorities, planning and business strategy, whilst also providing direct customer technical support as required by the Commercial Team.    What you will be doing:  The role will support the Hometrack
          Team in the following ways:    What we expect:    Highly regarded skills:    What is it like to work with us in Hometrack?  Each team in Hometrack has around 8-10 people who work together across technology, product and delivery as an autonomous unit. We believe strongly in testing and
          continuous delivery, mixed with large doses of fun. We support funded training and personal development    Each week we participate in guilds across the company to keep our skills sharp and increase our impact, and in team retrospectives
          where we keep track of how our team is going. Your manager acts as a mentor to help guide you and your career, instead of being someone who monitors your day to day.    We're committed to creating inclusive, safe environments
          where anyone, no matter their background, can contribute and succeed.    What you get beyond a great remuneration package?    About REA Group  REA Group is one of the world’s largest property and lifestyle media companies. Best known in Australia for realestate.com.au, the market-leading property site and app, we’re also a fast-growing
          global business spanning three regions. People use our sites and apps when finding a place to rent or buy (a home, co-work space or commercial property), as well as for property data, news, financial services, inspiration, renovation ideas,
          and to better understand their neighbourhoods and the property market. From our humble beginnings in a Melbourne garage more than 20 years ago, to a global company helping reimagine digital property experiences; we have played a key role in
          shaping the entire digital sector in Australia, especially through the talented people we have nurtured, and continue to develop.  We're reimagining the way we use data in REA, Hometrack Australia have recently joined the REA family to help us on this journey and we'd love you to come help us too.    About the role  The Data Science Manager sits within the Hometrack Team headed up by Brendan Darcy. The Hometrack team work together to provide property data services to the financial sector. It's suite of products includes property data analytics and insights, customised data platforms and an Automated Valuation Model (AVM). Hometrack is a core part of the REA strategy and will allow us to deliver more property data and insights to our customers and consumers.    This role will manage, support and develop the Australian Quantitative Team at Hometrack. You will also form part of the Hometrack Leadership Group.  The Data Science Manager will collaborate with the Hometrack CEO, Hometrack CTO, Application Development, and Commercial teams on priorities, planning and business strategy, whilst also providing direct customer technical support as required by the Commercial Team.    What you will be doing:  The role will support the Hometrack Team in the following ways:    What we expect:    Highly regarded skills:    What is it like to work with us in Hometrack?  Each team in Hometrack has around 8-10 people who work together across technology, product and delivery as an autonomous unit. We believe strongly in testing and continuous delivery, mixed with large doses of fun. We support funded training and personal development    Each week we participate in guilds across the company to keep our skills sharp and increase our impact, and in team retrospectives where we keep track of how our team is going. Your manager acts as a mentor to help guide you and your career, instead of being someone who monitors your day to day.    We're committed to creating inclusive, safe environments where anyone, no matter their background, can contribute and succeed.    What you get beyond a great remuneration package?    About REA Group  REA Group is one of the world’s largest property and lifestyle media companies. Best known in Australia for realestate.com.au, the market-leading property site and app, we’re also a fast-growing global business spanning three regions. People use our sites and apps when finding a place to rent or buy (a home, co-work space or commercial property), as well as for property data, news, financial services, inspiration, renovation ideas, and to better understand their neighbourhoods and the property market. From our humble beginnings in a Melbourne garage more than 20 years ago, to a global company helping reimagine digital property experiences; we have played a key role in shaping the entire digital sector in Australia, especially through the talented people we have nurtured, and continue to develop. "
8,https://www.seek.com.au/job/37481754?type=standout,Senior Business Analyst - Data Science,Peoplebank Australia NSW,16 Oct 2018,Sydney,Contract/Temp,Information & Communication Technology,"Our client, a large Australian enterprise, is seeking to engage an experienced Business Analyst. You will be joining an existing team and will be required to take part in providing specialist expertise in the design, development and implementation in providing targeted reports and insightful analysis. This is a key role within the project, you must be a clear and precise communicator in English with outstanding documentation skills. In this role you will, Requirements: For more information, please contact Pooja Gupta, quoting ref 188865.  Our client, a large Australian enterprise, is seeking to engage an experienced Business Analyst. You will be joining an existing team and will be required to take part in providing specialist expertise in the design, development and implementation in providing targeted reports and insightful analysis. This is a key role within the project, you must be a clear and precise communicator in English with outstanding documentation skills. In this role you will, Requirements: For more information, please contact Pooja Gupta, quoting ref 188865. "
9,https://www.seek.com.au/job/37478907?type=standout,Data Science Consultant,Oceans Group 2,16 Oct 2018,Sydney,Full Time,Information & Communication Technology,"Perm position with genuine global career prospects
         "
